"","time","LHY","CRY2","CRB","PIF3","PHYA","ARR4","ATAN11","CCR1","STIPL1","ELF4-L4","RVE7","GI","APT1","HESP","PAP1","ARR3","FT","FKF1","STN7","AT1G68850","TCP15","ELF4-L2","FRS4","SKIP","CCR2","ELF4-L3","PCH1","ERD7","MPK7","PHYB","LKP2","FIO1","XCT","GRP7","AT2G23070","CKA3","ELF3","ELF4-L1","TEJ","FRS2","COP1","AT2G35970","AT2G37000","AT2G37130","ELF4","RR3","COR15A","PIF4","FRF4","CKB4","SPA1","PRR9","CCA1","AT3G01060","WNK1","TBL10","A/N-InvC","FRF2","COL9","RVE8","SPY","LNK3","CYP72A8","ARC5","JMJD5","BBX31","FHY3","PCC1","TIC","GATA1","LWD2","PHOT1","LUX","PTAC16","RR5","BT2","CKA2","SEX4","LNK2","BME3","AT3G55960","AT3G56480","ARR9","PAR2","PIF5","FRF1","CKB3","PEX11E","HAM3","CUL1","AT4G02630","SRF3","SFR6","GSL1","CRY1","AT4G09970","DET1","FRF3","SHM4","FAR1","BBX30","CKB2","APRR2","KAT2","FRS1","TSF","PRXR1","ZIM","FSD1","CBF2/DREB1C","CBF3/DREB1A","CBF1/DREB1B","CGA1","FIM1","PHR1","VEL1","SMXL2","SKB1","GATA9","GATA3","GATA7","SPT","AT4G37520","SHM1","BBX19","OHP","PRR7","RVE4","NFXL2","TCP11","FLC","HY5","AT5G12050","TT4","CO","COL1","RVE1","RUP2","PRR5","GATA12","RVE2","CKB1","LATE","GA20OX2","CBF4/DREB1D","RUP1","LTI78","RVE6","ATIM","GNC","ZTL","PHOT2","SRR1","BOA","PRR3","TOC1","CDF1","UVR8","PRX71","LNK1","LIP1","CKA1"
"1",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2",0.25," 0.07864900"," 0.23741000","-0.11614000"," 0.10616000"," 0.14071000","-0.34176000"," 0.00104920"," 0.14833000"," 0.13448000"," 0.03575300","-0.48153000"," 0.71237000","-0.20150000","-0.03162500"," 3.23880000"," 0.00000000","-0.48516000"," 1.75570000"," 0.10305000"," 0.00000000"," 0.30250000","-0.00887330"," 0.12942000"," 0.10182000"," 0.44934000"," 0.52115000"," 0.03271900"," 1.54690000"," 0.32901000"," 0.40393000"," 0.20417000"," 0.25767000","-0.06767900"," 0.14819000","-0.14106000","-0.01015300"," 0.08611700"," 0.19414000"," 0.23139000"," 0.18805000"," 0.20851000","-0.93700000","-1.20730000"," 0.45956000"," 0.50717000","-0.24239000","-0.12821000","-0.01808100","-0.05101300"," 0.06149500"," 0.29899000"," 0.29899000"," 0.08625700"," 0.00995570"," 0.20900000","-0.05255000"," 1.41460000","-0.19574000"," 0.09850300"," 0.14231000"," 0.14221000"," 0.02068300"," 0.49054000"," 0.14410000","-0.00621840"," 0.05054500"," 0.21669000","-0.74310000"," 0.43026000"," 0.00168540","-0.24472000"," 0.15425000","-0.26964000","-0.06914300","-0.77079000","-0.01148600","-0.02180900"," 0.45881000"," 0.06886300","-0.51417000","-0.04714600","-0.07928300","-0.32402000","-0.90859000","-0.02500900"," 0.04514600","-0.09331800"," 0.16138000"," 0.12710000"," 0.16072000","-0.01498500","-0.08881900"," 0.32158000"," 0.36109000"," 0.09117100","-0.14839000"," 0.06192900"," 0.06254400"," 0.02022900"," 0.10517000"," 0.98542000"," 0.03411200"," 0.17378000"," 0.16896000"," 0.23251000","-0.55480000"," 0.50856000","-0.03027300","-0.05726900","-0.57264000"," 0.43094000"," 0.98530000","-0.33962000"," 0.19933000"," 0.05400200"," 0.19861000"," 0.03463800"," 0.07171300","-0.43477000"," 0.18246000","-0.11585000","-0.14343000","-0.21325000"," 0.06768400","-0.01131200","-0.17281000"," 0.46671000","-0.05749600"," 0.18245000","-0.43782000","-1.00460000","-0.01351300","-0.55494000","-0.00492750"," 0.14023000","-0.30965000","-0.11411000","-0.02746000"," 1.11330000","-0.07423000","-0.40649000"," 0.00383140","-0.39363000"," 0.00000000"," 1.31680000"," 0.49327000"," 0.57638000"," 0.14327000"," 0.09634100","-0.00510330"," 0.11876000"," 0.26906000","-0.05539600","-0.37176000"," 0.45218000"," 0.35436000","-0.07270500"," 0.16173000"," 0.10050000"," 0.25717000","-0.00065669","-0.09966400"
"3",0.5,"-0.03097500"," 0.08318400","-0.08288600"," 0.10516000"," 0.18694000","-0.38052000","-0.01997800"," 0.06164100"," 0.29719000","-0.04177200","-0.93303000","-0.01532000"," 0.08628500","-0.05412300"," 0.82092000"," 0.00000000","-0.43424000"," 0.54496000"," 0.00033454","-3.58740000","-0.33888000","-0.27197000"," 0.27403000"," 0.16805000"," 0.38453000"," 1.05690000","-0.03171100","-1.00770000","-0.05685200"," 0.29371000"," 0.34974000"," 0.24760000","-0.01740200"," 0.08116700"," 0.01020600","-0.10464000"," 0.16906000","-0.64153000","-0.39047000"," 0.11848000"," 0.08816200"," 0.23292000"," 1.56470000"," 0.14478000","-0.17768000","-0.12478000","-0.47930000"," 0.44662000","-0.06686800","-0.17380000"," 0.13504000","-0.21197000","-0.08827900","-0.02872900"," 0.09149400","-0.14851000"," 2.07740000","-0.49770000","-0.04732500"," 0.07159900"," 0.16986000","-0.08372800"," 0.68754000"," 0.12012000","-0.09610100"," 0.24535000"," 0.17366000","-0.07423500"," 0.18337000","-0.14493000"," 0.11258000"," 0.09580600","-0.19249000","-0.08361500","-0.19681000"," 1.41590000","-0.13268000","-0.03609800","-0.00379380","-0.61560000","-0.17833000","-0.20089000","-0.24194000","-0.78444000","-0.34498000"," 0.02579800","-0.19888000","-0.05387800"," 0.08955300"," 0.15032000","-0.07662700","-0.06460400"," 0.24087000"," 0.21760000","-0.05843500","-0.18826000"," 0.10175000"," 0.11641000"," 0.13663000"," 0.03669000"," 1.07930000","-0.12519000","-0.02468400"," 0.19243000"," 0.03820100","-0.62249000"," 0.10918000"," 0.04059500","-0.19369000","-0.80520000","-1.51380000","-1.41610000","-0.25858000","-0.02729900","-0.07736800"," 0.08507800","-0.08685200"," 0.30742000","-0.53823000","-0.30119000","-0.43211000","-0.00709140","-0.18246000","-0.02452100","-0.25593000","-0.26031000"," 0.14568000","-0.05748700"," 0.20445000","-0.29019000","-0.02196700","-0.06283000","-0.70098000"," 0.03836900","-0.19992000","-0.90769000","-0.24621000","-0.13687000"," 0.96584000","-0.16701000","-0.04601500","-0.01841900"," 0.42697000"," 0.42340000","-1.52620000"," 0.36554000","-0.16906000"," 0.15845000"," 0.23082000","-0.01175600"," 0.12895000"," 0.12239000"," 0.08106300","-0.07560900","-0.32159000","-0.18088000","-0.49605000"," 0.11354000","-0.90673000"," 0.09504000"," 0.10282000","-0.05837300"
"4",1," 0.07146700","-0.24733000","-0.03909500"," 0.67360000"," 0.28539000","-0.42746000","-0.36818000"," 0.29771000","-0.01685400","-0.56388000","-1.37770000"," 0.12500000"," 0.08629500"," 0.06780000"," 2.19920000","-0.28910000","-0.38988000"," 1.82750000","-0.05402500"," 0.00000000","-0.20655000","-0.84753000","-0.01044100"," 0.18060000"," 1.58360000"," 2.49930000"," 0.02575800","-0.05152400"," 0.03679300"," 0.86805000"," 0.41264000","-0.20379000","-0.00034455"," 0.33459000"," 0.11648000","-0.13215000","-0.05807900","-0.70500000","-0.63690000"," 0.71397000"," 0.05491700"," 0.52094000","-0.28552000"," 1.08340000"," 0.20091000"," 0.26251000","-0.20603000"," 0.53892000","-0.02828200","-0.24763000"," 0.44336000","-0.42821000","-0.34361000"," 0.05943400"," 0.50625000","-0.58215000"," 2.72710000","-0.80727000","-0.07820900"," 0.38617000"," 0.27358000","-0.34953000"," 0.49588000"," 0.59300000","-0.10337000"," 1.72220000"," 0.26353000","-1.06080000","-0.18229000","-0.05961400","-0.40270000"," 0.30600000","-0.52198000","-0.11134000"," 0.23819000"," 1.38200000","-0.11861000","-0.14893000"," 0.08583800"," 0.35757000","-0.63315000","-0.09120800","-0.19364000","-0.34113000","-0.56510000","-0.04330500","-0.30310000"," 0.02193500"," 0.40998000"," 0.29803000"," 0.03341200"," 0.89115000","-0.05188600"," 0.30951000","-0.36765000","-0.06190400"," 0.12823000","-0.80730000"," 0.32683000"," 0.21849000"," 0.94341000","-0.10427000"," 0.05624900"," 0.37585000","-0.39093000","-0.98158000"," 0.04314000","-0.14550000","-0.01752600","-0.74683000","-0.47232000","-0.84824000","-1.84470000"," 0.63228000"," 0.00216750"," 0.37555000","-0.23709000"," 0.39827000","-0.73661000","-0.55904000","-0.94149000"," 0.39513000"," 0.06100600"," 0.07925900","-0.35639000","-0.26001000"," 0.06032500"," 0.05003900","-0.07402700","-0.60659000","-2.67660000","-0.66494000","-1.81250000"," 0.21405000","-1.37460000","-1.80570000","-0.11917000","-0.17143000"," 1.21220000"," 0.19046000","-0.51533000","-0.08625300","-0.57119000"," 0.00000000","-0.36055000"," 0.32981000"," 0.51169000"," 0.81129000"," 0.50013000","-0.90585000"," 0.03602600"," 0.30215000"," 0.15515000"," 0.36187000"," 0.62888000","-0.23822000"," 0.16056000"," 0.32479000","-1.26440000"," 0.13877000","-0.14850000","-0.06912000"
"5",1.5,"-0.1265400","-0.2108300"," 0.0838240","-0.3856200","-0.5306100"," 0.1813000","-0.0604190"," 0.7292100"," 0.2914000","-0.3603200","-0.3614500","-0.4808200"," 0.0950470"," 0.2527700"," 1.2080000","-1.9805000","-0.1773600","-0.0063039","-0.2599600"," 0.0000000"," 0.2992300","-0.2412200","-0.1695800"," 0.2675400"," 2.4123000"," 2.9120000"," 0.0245970"," 1.7765000","-0.3856900"," 0.3676400","-0.0881920","-0.2138300"," 0.1042800","-0.1936700"," 0.3046700","-0.0837000"," 0.2051700","-0.9078600","-1.0839000"," 0.1082800"," 0.0251200","-0.2486500","-0.4607200"," 1.4530000"," 0.1548600","-0.2875500"," 0.9462600"," 0.4974300","-0.1384900"," 0.0124490"," 0.4020600"," 0.1505700","-0.5020000"," 0.1095500","-0.1241500","-0.4164600"," 1.9197000","-1.1118000","-0.1240100"," 0.2246000"," 0.2047300","-0.2018500","-0.6294600"," 0.3423000","-0.3126700"," 1.0164000"," 0.1801300","-1.8682000"," 0.0495440"," 0.3541800","-0.0437950","-0.4258700"," 0.8969900","-0.0167150"," 0.5192000"," 1.2152000"," 0.1141500","-0.6410900","-0.0818070"," 0.5805600","-0.5308300","-0.4072100","-0.1302500","-0.2717000","-0.2910900"," 0.1046800"," 0.0312600","-0.0117840"," 0.3989700"," 0.2477800","-0.5301500"," 1.4641000","-0.5832300","-0.6214000","-0.3507100","-1.0469000","-0.4790600","-0.1510800"," 0.8940200","-0.2203700"," 0.5839300","-0.0230740","-0.2248600"," 0.3425400","-0.8556200","-2.2506000","-0.7570800","-0.0654250"," 0.0105780","-0.5562500","-0.4464200","-0.0929090"," 0.5610700"," 0.5055600","-0.0137060"," 0.3193200"," 0.3554600","-0.1965100","-0.2629200","-0.7875500"," 0.0989210","-0.0345560","-0.5564500"," 0.0798970","-0.3852400","-0.2000900","-0.2134200"," 0.0066288"," 0.2233600","-0.5693000"," 1.3588000","-0.7380400","-0.7294300","-0.1909100","-0.5162000","-0.4301700"," 0.3938000","-0.2264100"," 1.3327000"," 1.0786000"," 0.4299000","-0.0015584","-0.3937400"," 0.0296610"," 0.0000000"," 0.8112000"," 2.0006000"," 0.5236600","-0.3222200"," 0.1102500","-0.0998470","-0.0957530"," 0.3036000"," 0.7226800","-0.0399720","-0.4571500"," 0.7941800","-0.0166710","-1.1618000"," 0.0015938"," 0.1726100","-0.0664570"
"6",2,"-0.2778100","-0.2211400","-0.1359900","-0.1945000","-0.0595070","-0.4988800","-0.1457300"," 1.0690000"," 0.2528600","-0.2704600","-0.9505900","-0.6708100","-0.2692000","-0.0000155"," 3.4974000","-1.8961000","-1.2617000","-0.0553740","-0.0030355"," 0.0000000"," 0.9967500","-0.3414200","-0.0000573"," 0.3262900"," 1.4029000"," 4.3703000"," 0.0564730","-0.2579700","-0.0785270"," 0.7329100","-0.0430830","-0.0786990","-0.0083166","-0.7952700"," 0.2637300","-0.0376360"," 0.0794960","-0.4220000","-1.2441000","-0.4835300"," 0.1716200","-1.7046000","-0.3102600"," 1.0742000","-0.2782200","-0.0166590"," 0.0606590"," 1.0228000"," 0.0501250"," 0.1067600"," 0.7382500"," 0.3719100","-0.3378600"," 0.1792700","-0.1033900"," 0.0413220"," 2.0067000","-1.0874000","-0.4064700"," 0.4335500","-0.1425500","-0.4004200","-0.1819600"," 0.8236300","-0.3143700"," 0.8675600"," 0.2730000","-0.2134000"," 0.4060800"," 0.0326350","-0.0681940","-0.0205120","-0.3490500"," 0.0419210","-1.6335000"," 0.3767000","-0.0972200"," 0.1086900","-0.0274860","-0.6415500","-0.9497100","-0.9581100","-0.3537600","-0.7361700","-0.4367400"," 0.1646600","-0.0120060","-0.0896070"," 0.3811300"," 0.2371500"," 0.5656800"," 1.6710000","-0.4899600"," 0.2301300","-0.1827600","-1.0190000","-0.0520720","-0.3351700"," 0.8286400"," 0.0101900"," 0.7558600","-0.2389900","-0.0736690"," 0.6992700","-0.4282600","-0.9474600","-0.0089985","-0.1019600"," 0.0438210","-1.5659000","-0.6773400","-2.5505000","-2.0174000"," 0.5193200","-0.1275300"," 0.4680100","-0.1371100"," 0.2071500"," 0.0295100","-0.6907800"," 0.6333900","-0.0644830","-0.4006100"," 0.1839300","-0.3237400","-0.3224600","-0.0174230"," 0.0187540"," 0.1732000","-0.7261700"," 1.8734000","-0.8074200","-0.7801900"," 1.1958000","-0.3179500","-0.8536700","-0.2381600","-0.4248300"," 0.7579600"," 0.5203600","-0.4906300"," 0.0057041","-0.2649800"," 0.8944800"," 0.3262600"," 0.5079900"," 0.8990500"," 0.5289700","-0.2350000","-0.3951900"," 0.1184300"," 0.6654200"," 0.1069700"," 1.1008000"," 0.7468800","-1.3434000"," 1.3150000"," 0.1949100","-2.0660000"," 0.4351100"," 0.0847370","-0.0535280"
"7",3,"-0.366860"," 0.141960"," 0.184340","-0.242230","-0.625160","-0.017790"," 0.311150"," 0.896960"," 0.075376"," 0.393590"," 0.912520","-0.300490","-0.161030","-0.039916"," 2.295100","-2.370300"," 0.114410"," 0.762280"," 0.055160"," 0.000000"," 1.182400"," 0.550310","-0.245580"," 0.208300"," 1.118800"," 3.725400"," 0.351770","-0.072494"," 0.192230","-0.123910"," 0.045145"," 0.114580"," 0.220760","-0.457910"," 0.370800"," 0.236940"," 0.512710","-0.334100","-1.102700","-0.851940","-0.288120","-1.645800","-0.178090"," 2.208800","-0.024162"," 0.203420"," 1.068100"," 0.050012"," 0.264640"," 0.364580"," 0.067697","-0.030546","-0.303550"," 0.321400"," 0.267630"," 0.726480"," 1.409600"," 0.016747"," 0.209990","-0.482570","-0.305480"," 0.074168","-1.958700"," 0.158460"," 0.433190"," 0.666280","-0.012925","-3.143400"," 0.192980","-0.056173"," 0.376870","-0.171470"," 0.082138"," 0.390490","-1.252100"," 0.498380"," 0.068595"," 0.035530","-0.306390","-0.370180","-0.635160","-1.708800","-0.030484","-0.618110"," 0.097302"," 0.329000"," 0.081365"," 0.329060"," 1.189900"," 0.079778","-0.402860"," 0.970120","-0.936660","-0.592260"," 0.118410","-0.888490","-0.249040"," 0.194410"," 0.350870","-0.521420"," 0.364100"," 0.095694"," 0.050347"," 0.971480","-0.691540","-0.429490","-0.200700"," 0.155290"," 0.615050"," 1.076100"," 1.692300"," 0.128460","-2.012800"," 0.481240"," 0.060031"," 0.164390","-0.176230","-0.175260"," 0.204940","-0.416570"," 1.492900"," 0.031313","-0.035390"," 0.321600","-0.359760"," 0.537540","-0.164440"," 0.063372","-0.192300","-0.389900","-0.462810","-0.731170","-0.521280"," 1.505400","-0.158290"," 0.194600"," 1.113700","-1.012200"," 1.217300"," 0.656250"," 0.546340"," 0.241930","-0.778850","-1.150700"," 0.402530"," 0.277520"," 0.727050"," 0.414810","-0.843880","-0.160020"," 0.155410"," 0.304950"," 0.303740"," 0.783310","-0.141910","-0.809030"," 0.646770"," 0.157650","-1.402600","-0.019108","-0.105600"," 0.222380"
